TF,OPEN,CLOSE,HIGHEST,LOWEST
1,135.95,136.15,136.8,135.2
2,136.1,136.8,137,136
3,136.85,136.55,136.85,136.15
4,136.5,137.3,137.6,136.1
5,137.25,137.1,137.3,136.7
6,137.05,137.05,137.6,137.05
7,137.1,137.25,137.4,136.65
8,137.2,138.4,138.6,137.2
9,138.45,137.9,138.7,137.9
10,137.95,139.2,139.95,137.8
11,139.8,139.75,140.3,139.3
12,139.7,139.3,140.25,139.15
